filename,class_id,class_name,confidence,x_min_pixel,y_min_pixel,x_max_pixel,y_max_pixel
AIX043024.jpg,0,leaf,0.9752,2980,5733,3777,6370
AIX055881.jpg,3,flower,0.3194,1184,7150,1431,7389
AIX055881.jpg,3,flower,0.3634,881,5932,1129,6222
AIX055881.jpg,0,leaf,0.4172,1744,4315,3555,5674
AIX055881.jpg,3,flower,0.5059,1463,7066,1713,7285
AIX055881.jpg,2,stem,0.655,5001,5371,6105,6616
AIX055881.jpg,3,flower,0.6643,774,6248,1106,6565
AIX055881.jpg,0,leaf,0.6718,3260,2415,4489,4062
AIX055881.jpg,0,leaf,0.7415,1478,5252,3645,6335
AIX055881.jpg,0,leaf,0.7627,1385,6335,2639,7146
AIX055881.jpg,2,stem,0.7657,2283,1498,2549,2555
AIX055881.jpg,3,flower,0.8051,644,6932,1058,7686
AIX055881.jpg,0,leaf,0.8589,1968,2435,3202,4401
AIX055881.jpg,2,stem,0.8778,1765,2232,2245,2590
AIX055881.jpg,2,stem,0.8793,1221,4622,1790,5669
AIX055881.jpg,0,leaf,0.8806,939,6855,1672,8021
AIX055881.jpg,0,leaf,0.889,0,3352,1935,4554
AIX055881.jpg,2,stem,0.8977,3578,5041,4226,5993
AIX055881.jpg,0,leaf,0.9124,123,2001,1905,3471
AIX055881.jpg,0,leaf,0.9148,2653,7955,3751,8893
AIX055881.jpg,0,leaf,0.939,1682,7186,2900,8393
AIX055881.jpg,0,leaf,0.944,2674,6672,3824,7946
AIX055881.jpg,0,leaf,0.9641,3853,4021,5095,5131
AIX055881.jpg,0,leaf,0.9712,2498,531,4427,2485
AIX055881.jpg,0,leaf,0.9732,1097,275,2489,2209
AIX055881.jpg,0,leaf,0.9772,5091,4290,6281,5320
AIX055881.jpg,0,leaf,0.9776,4581,2783,5813,4280
AIX055881.jpg,0,leaf,0.9785,4447,504,6265,2536
ALF032718.jpg,0,leaf,0.2713,1880,1636,2040,1762
ALF032718.jpg,2,stem,0.2866,2741,459,3216,564
ALF032718.jpg,0,leaf,0.2942,1031,3077,1179,3173
ALF032718.jpg,0,leaf,0.3406,1549,1082,1802,1351
ALF032718.jpg,0,leaf,0.3668,1443,4716,1673,4926
ALF032718.jpg,0,leaf,0.3773,308,2695,535,2864
ALF032718.jpg,0,leaf,0.38,1183,3882,1271,4097
ALF032718.jpg,0,leaf,0.3948,887,4009,1261,4310
ALF032718.jpg,3,flower,0.3958,1715,2860,1902,3127
ALF032718.jpg,3,flower,0.4073,1882,970,2063,1156
ALF032718.jpg,2,stem,0.4286,696,1628,1057,2907
ALF032718.jpg,2,stem,0.4567,1822,2023,1980,2317
ALF032718.jpg,0,leaf,0.5061,1647,4928,2025,5083
ALF032718.jpg,3,flower,0.5167,2113,2361,2230,2525
ALF032718.jpg,3,flower,0.558,1962,2064,2284,2405
ALF032718.jpg,2,stem,0.5641,1591,3075,1734,3304
ALF032718.jpg,2,stem,0.5697,2467,1208,2742,2074
ALF032718.jpg,2,stem,0.6013,1180,5034,1620,5443
ALF032718.jpg,3,flower,0.6172,1262,3371,1472,3556
ALF032718.jpg,0,leaf,0.6412,1856,1511,1937,1677
ALF032718.jpg,2,stem,0.6462,1145,4356,1239,5034
ALF032718.jpg,3,flower,0.6508,703,3354,852,3578
ALF032718.jpg,0,leaf,0.6699,1471,1515,1833,1842
ALF032718.jpg,0,leaf,0.6761,1950,2081,2306,2412
ALF032718.jpg,2,stem,0.6812,905,3550,1062,4038
ALF032718.jpg,3,flower,0.7041,2021,943,2162,1085
ALF032718.jpg,2,stem,0.7206,1468,1481,1620,1634
ALF032718.jpg,3,flower,0.7221,1262,3993,1443,4194
ALF032718.jpg,0,leaf,0.7231,1179,1762,1567,1962
ALF032718.jpg,3,flower,0.7369,970,4276,1155,4442
ALF032718.jpg,2,stem,0.7556,1993,4357,2240,4995
ALF032718.jpg,3,flower,0.7669,882,4014,1269,4308
ALF032718.jpg,2,stem,0.7704,1481,3288,1594,3522
ALF032718.jpg,0,leaf,0.8105,1606,3793,1945,3926
ALF032718.jpg,3,flower,0.8147,69,2648,434,3017
ALF032718.jpg,0,leaf,0.8155,1893,1720,2364,2094
ALF032718.jpg,0,leaf,0.8159,980,3404,1447,3669
ALF032718.jpg,2,stem,0.8198,2214,937,2513,1805
ALF032718.jpg,2,stem,0.8233,2577,419,3209,2090
ALF032718.jpg,2,stem,0.8391,1038,1935,1239,2732
ALF032718.jpg,3,flower,0.8397,1970,4134,2316,4363
ALF032718.jpg,0,leaf,0.8401,1546,2023,1780,2508
ALF032718.jpg,2,stem,0.8413,389,2906,642,3230
ALF032718.jpg,2,stem,0.8439,1980,561,2412,874
ALF032718.jpg,0,leaf,0.8446,1306,1971,1594,2266
ALF032718.jpg,3,flower,0.8461,1225,4853,1403,5048
ALF032718.jpg,0,leaf,0.8474,836,2967,1049,3340
ALF032718.jpg,0,leaf,0.8482,26,3451,535,3749
ALF032718.jpg,3,flower,0.8485,1443,4724,1663,4930
ALF032718.jpg,0,leaf,0.8536,1303,872,1807,1230
ALF032718.jpg,2,stem,0.8566,1089,1202,1523,1645
ALF032718.jpg,2,stem,0.8592,1818,1180,2048,1542
ALF032718.jpg,3,flower,0.8613,2351,285,2760,699
ALF032718.jpg,0,leaf,0.8618,1329,3632,1584,4130
ALF032718.jpg,0,leaf,0.8724,1578,3278,1764,3724
ALF032718.jpg,0,leaf,0.8733,1250,5433,1764,5659
ALF032718.jpg,0,leaf,0.876,224,3245,656,3501
ALF032718.jpg,3,flower,0.8825,1710,4251,2023,4580
ALF032718.jpg,2,stem,0.8866,2256,2150,2443,4154
ALF032718.jpg,2,stem,0.8891,611,3538,783,4890
ALF032718.jpg,0,leaf,0.8932,841,2743,1283,2950
ALF032718.jpg,2,stem,0.9232,1861,2499,2114,2872
ALF032721.jpg,0,leaf,0.2511,2779,1261,2945,1387
ALF032721.jpg,0,leaf,0.2535,1927,175,2019,325
ALF032721.jpg,2,stem,0.2563,1744,1077,2051,1347
ALF032721.jpg,0,leaf,0.2828,3319,1190,3420,1551
ALF032721.jpg,2,stem,0.2829,2257,3401,3305,3924
ALF032721.jpg,0,leaf,0.2913,1603,464,2118,961
ALF032721.jpg,0,leaf,0.2919,2561,1282,2837,1521
ALF032721.jpg,0,leaf,0.2935,2519,1262,2894,1754
ALF032721.jpg,2,stem,0.2976,1222,4268,1769,4489
ALF032721.jpg,2,stem,0.3002,882,5208,1491,5649
ALF032721.jpg,2,stem,0.3137,922,4769,1135,5092
ALF032721.jpg,0,leaf,0.335,1615,0,2894,557
ALF032721.jpg,2,stem,0.3411,2164,98,2699,451
ALF032721.jpg,2,stem,0.3454,2205,3676,2956,3913
ALF032721.jpg,0,leaf,0.3694,1937,1299,2687,1716
ALF032721.jpg,0,leaf,0.4152,2781,528,2967,741
ALF032721.jpg,0,leaf,0.4253,3134,68,3784,539
ALF032721.jpg,3,flower,0.4275,2936,1704,3040,1812
ALF032721.jpg,0,leaf,0.4296,2546,2686,2764,2807
ALF032721.jpg,2,stem,0.4488,547,3402,1229,4019
ALF032721.jpg,2,stem,0.4715,879,1253,1539,2135
ALF032721.jpg,2,stem,0.4803,1725,18,1931,353
ALF032721.jpg,0,leaf,0.4956,1548,1343,2097,2476
ALF032721.jpg,0,leaf,0.5011,2445,1785,2656,2072
ALF032721.jpg,0,leaf,0.5048,2994,2782,3271,3022
ALF032721.jpg,2,stem,0.5247,2997,800,3168,1291
ALF032721.jpg,0,leaf,0.5297,3030,455,3557,857
ALF032721.jpg,0,leaf,0.5319,2948,2008,3200,2202
ALF032721.jpg,2,stem,0.5535,2995,2941,3413,3992
ALF032721.jpg,0,leaf,0.5911,2683,2096,3076,2404
ALF032721.jpg,0,leaf,0.613,1714,574,2957,1264
ALF032721.jpg,0,leaf,0.647,2937,30,3757,879
ALF032721.jpg,2,stem,0.7084,1884,3887,2162,4195
ALF032721.jpg,0,leaf,0.723,2188,2064,2577,2525
ALF032721.jpg,0,leaf,0.7261,2996,1409,3271,1882
ALF032721.jpg,0,leaf,0.7476,2278,2449,2608,2976
ALF032721.jpg,0,leaf,0.7518,2645,2408,3109,2716
ALF032721.jpg,0,leaf,0.7784,3531,1173,3731,1510
ALF032721.jpg,0,leaf,0.8055,3321,1093,3622,1198
ALF032721.jpg,2,stem,0.8088,556,4147,1738,4470
ALF032721.jpg,2,stem,0.8132,891,480,1555,1273
ALF032721.jpg,0,leaf,0.8169,923,2715,1791,3198
ALF032721.jpg,0,leaf,0.8241,2786,1734,3014,2106
ALF032721.jpg,0,leaf,0.8244,1293,3781,1812,4072
ALF032721.jpg,0,leaf,0.8411,2916,1292,3236,1485
ALF032721.jpg,0,leaf,0.8426,1593,3383,2259,3869
ALF032721.jpg,2,stem,0.8766,1572,5022,2324,5372
ALF032721.jpg,0,leaf,0.8857,1532,4498,1922,4847
ALF032721.jpg,0,leaf,0.8908,1126,3471,1679,3789
ALF032721.jpg,2,stem,0.8978,593,4637,1194,5658
ALF032721.jpg,0,leaf,0.913,2576,1906,2825,2337
ALF032721.jpg,0,leaf,0.9141,952,4476,1488,4787
ALF032721.jpg,0,leaf,0.9206,984,3155,1701,3480
